12	6	6	7.64	40	53.45	79.87
10	5	5	10.43	38.9	51.91	65.06
11	5	6	11.08	43.9	52.35	61.98
12	6	6	10.62	44.5	53.45	57.17
11	5	6	12.03	40.3	50.59	69.94
11	6	5	9.75	43.9	54.86	60.98
11	6	5	8.89	43.9	52.71	54.11
10	5	5	9.37	43.6	53.4	69.54
9	5	4	11.85	50.2	54.78	62.69
11	5	6	9.03	44.2	55.68	42.77
11	5	6	11.62	46.9	53.69	72.23
10	5	5	11.07	43.9	52.96	81.45
11	6	5	9.19	44.5	53.66	78.25
11	6	5	17.67	47.8	50.06	62.93
11	5	6	7.99	46	56.12	63.64
10	5	5	7.12	40.8	55.79	60.79
11	6	5	10.03	45.3	54.19	55.95
14	8	6	9.6	44.1	53.75	51.42
10	5	5	10.24	49.5	55.92	80.72
10	5	5	10.95	50	55.4	66.96
11	5	6	8.9	43.4	54.72	59.47
12	6	6	9.83	49.6	57.25	63.99
11	6	5	10.59	47.5	53.43	61.9
10	5	5	10.56	44.5	54.09	61.3
10	5	5	12.18	43.2	52.62	51.6
12	6	6	16.38	49.9	52.9	53.84
14	7	7	7.96	43.9	54.05	53.3
10	5	5	9.68	50.8	56.61	54.99
11	5	6	7.11	43.6	56.2	59.24
11	6	5	11.03	47.3	56.1	59.31
11	6	5	9.01	44.3	54.64	69.76
12	6	6	15.17	41.6	51.71	67.54
11	5	6	11.36	47.4	54.84	85.08
10	5	5	9.74	47.8	56.13	66
10	5	5	9.37	45.7	54.9	76.41
9	5	4	10.61	46.1	54.38	66.25
11	5	6	11.57	51.7	55	45.96
12	6	6	13	51	57.27	64.9
10	5	5	12.07	45.3	54.39	69.04
10	5	5	12.45	42.9	53.95	73.74
10	5	5	10.03	52.1	56.37	70.46
10	5	5	11.45	49	54.94	66.84
12	7	5	14.31	45.8	51.38	56.3
11	5	6	11.49	50.5	55.43	70.34
10	5	5	9.29	46	56.57	68.71
10	5	5	11.03	46	55	52.81
11	6	5	9.12	42.1	53.72	40.14
11	6	5	11.79	43.4	52.18	65.08
11	5	6	10.79	35.2	55.31	73.66
11	6	5	10.28	48.8	55.34	52.06
11	6	5	11.21	44.1	52.63	60.23
12	6	6	6.6	47.7	58.61	65.24
10	5	5	12.64	44.2	53.35	61.16
9	5	4	10.94	41.1	52.37	73.6
11	5	6	10.18	48.6	54.72	63.07
10	5	5	11.86	47.9	56.42	75.38
10	5	5	10.16	41.3	53.46	70.3
13	7	6	8.54	42	54.14	55.85
10	5	5	13.45	43.1	52.3	69.54
11	5	6	10.08	44.1	54.06	60.38
11	5	6	9.45	46.4	53.75	56.08
10	5	5	10.13	46.9	55.81	49.18
13	7	6	11.71	49.6	53.65	52.35
10	4	6	16.07	44.5	50.92	53
11	6	5	19.7	46.9	50.35	72.12
11	6	5	9.35	46.1	53.76	72.82
11	5	6	10.54	43.3	54.38	62.01
10	5	5	8.35	43.2	56.68	51.23
10	5	5	13.35	46.3	51.72	58.85
10	5	5	10.11	47.4	54.82	58.97
10	5	5	9.84	45.4	53.96	62.5
10	5	5	14.61	41.6	51.44	83.03
11	5	6	9.33	43.9	54.29	64.88
13	7	6	9.89	43.7	54.43	54.94
12	6	6	10.86	45.5	53.79	66.34
10	5	5	11.05	53.2	55.51	65.33
10	5	5	10.41	43.8	53.24	65.13
10	5	5	9.12	44.6	54.33	57.91
10	5	5	10.54	49.2	57.02	71.34
10	5	5	8.5	45.5	56.57	52.14
9	4	5	12.36	42.3	51.47	66.14
10	4	6	6.88	44.4	53.97	64.01
10	5	5	9.39	44.5	55.75	65.06
9	4	5	13.13	44.3	52.2	81.01
10	5	5	12.31	46.3	55.06	59.11
9	5	4	7.99	49.7	56.48	43.41
10	5	5	8.1	41.4	53.16	66.52
10	5	5	9.74	46.6	53.08	59.6
11	6	5	13.73	43.9	50.35	49.74
14	7	7	8.14	42.8	55.68	56.07
10	5	5	8.49	43.6	57.26	57.62
10	5	5	11.85	50.7	56.21	74.75
12	6	6	7.87	45.9	56.83	48.68
10	5	5	13.51	50.6	53.02	62.38
12	5	7	10.96	40.5	51.84	52.43
11	6	5	11.4	45.2	53.79	57.62
11	5	6	11.53	45	55.91	73.92
11	5	6	16.4	47.2	54.12	64.18
12	6	6	10.24	43.6	54.73	65.23
11	6	5	11.64	38.2	51.13	71.88
9	4	5	11.66	43.9	53.48	71.65
11	5	6	14.1	52.8	54.32	56.87
11	5	6	10.41	48.6	54.95	68.85
11	5	6	10.16	36	51.9	49.55
12	6	6	10.43	43	53.02	52.57
10	5	5	16.19	57.4	54.27	45.06
12	6	6	9.2	47.5	54.94	75.78
9	5	4	9.28	45	53.11	76.2
10	5	5	14.08	46.3	52.72	66.9
11	5	6	14.63	43.9	52.3	73.3
10	4	6	10.09	50	54.26	60.51
10	5	5	11.06	43.5	52.57	49.67
12	6	6	9.43	47.8	53.97	40.66
12	6	6	9.64	43.3	53.86	48.26
12	6	6	9.86	47.3	53.36	57.78
11	5	6	10.66	44.2	52.6	65.02
11	6	5	7.69	39.4	54.47	66.24
11	5	6	9.39	47.3	55.73	64.39
10	5	5	11.04	45.7	52.65	53.52
12	6	6	10.63	48.2	56.29	52.72
10	5	5	10.03	41.6	54.23	85.1
12	6	6	13.56	47.2	53.05	77.75
9	4	5	10.36	45.2	55.1	55.77
12	6	6	16.09	43.9	52.65	66.98
10	5	5	10.22	47.8	55.99	68.49
12	6	6	11.45	45.9	54.5	60.57
11	6	5	8.87	45.9	55.23	48.82
10	4	6	9.58	53.3	57.08	86.94
12	6	6	7.32	33.9	51.92	62.51
9	4	5	11.95	44.6	55.11	55.29
12	6	6	14.41	42.8	51.8	58.33
